plk-invoice-number,xyz-branch,city-ghh-998,type-usr-search,gender,category-catalog-dsp,cost of goods sold,sale,dateddmmyyy,time,payment-type-full,review
437-53-3084,B,Chicago,Normal,Male,Fashion accessories,199.78,209.769,2/26/2019,11:48,Ewallet,7.1
632-32-4574,B,Chicago,Normal,Male,Sports and travel,607.36,637.728,3/20/2019,14:14,Cash,5.5
556-97-7101,C,Houston,Normal,Female,Electronic accessories,126.44,132.762,01/01/2019,15:51,Cash,8.5
862-59-8517,C,Houston,Normal,Female,Food and beverages,541.44,568.512,1/27/2019,11:17,Cash,6.2
401-18-8016,B,Chicago,Member,Female,Sports and travel,98.13,103.0365,1/21/2019,17:36,Cash,8.9
420-18-8989,A,Nueva York,Member,Female,Sports and travel,412.16,432.768,02/02/2019,15:47,Cash,9.6
277-63-2961,B,Chicago,Member,Male,Sports and travel,73.97,77.6685,02/03/2019,15:53,Credit card,5.4
573-98-8548,C,Houston,Member,Female,Fashion accessories,31.9,33.495,01/05/2019,12:40,Ewallet,9.1
620-02-2046,C,Houston,Normal,Male,Home and lifestyle,138.8,145.74,1/27/2019,19:48,Ewallet,9
282-35-2475,B,Chicago,Normal,Female,Sports and travel,186.62,195.951,3/25/2019,17:53,Cash,6.3
511-54-3087,B,Chicago,Normal,Male,Sports and travel,88.45,92.8725,2/25/2019,16:36,Credit card,9.5
726-29-6793,A,Nueva York,Member,Male,Electronic accessories,193.44,203.112,1/28/2019,20:54,Ewallet,9.8
387-49-4215,B,Chicago,Member,Female,Sports and travel,145.5,152.775,01/08/2019,12:50,Cash,6.7
862-17-9201,B,Chicago,Normal,Female,Food and beverages,504.3,529.515,1/29/2019,10:48,Credit card,7.7
291-21-5991,B,Chicago,Member,Male,Health and beauty,306.45,321.7725,3/29/2019,14:28,Cash,7
602-80-9671,C,Houston,Member,Female,Home and lifestyle,95.7,100.485,02/09/2019,17:15,Credit card,5.1
347-72-6115,B,Chicago,Member,Female,Sports and travel,635.18,666.939,1/16/2019,18:03,Credit card,6.2
209-61-0206,A,Nueva York,Normal,Female,Home and lifestyle,214.55,225.2775,01/05/2019,17:29,Ewallet,6.1
595-27-4851,A,Nueva York,Normal,Female,Fashion accessories,379.96,398.958,1/27/2019,18:05,Ewallet,9.3
189-52-0236,A,Nueva York,Normal,Male,Electronic accessories,696.85,731.6925,3/14/2019,12:07,Cash,7.6
503-07-0930,C,Houston,Member,Male,Sports and travel,408.73,429.1665,2/23/2019,19:49,Credit card,8.2
413-20-6708,C,Houston,Member,Female,Fashion accessories,51.47,54.0435,3/18/2019,15:52,Ewallet,8.5
425-85-2085,B,Chicago,Member,Male,Health and beauty,274.3,288.015,3/29/2019,16:48,Ewallet,9.8
521-18-7827,C,Houston,Member,Male,Home and lifestyle,196.95,206.7975,1/22/2019,20:46,Credit card,8.7
220-28-1851,A,Nueva York,Normal,Male,Home and lifestyle,69.46,72.933,03/01/2019,18:14,Ewallet,9.7
600-38-9738,C,Houston,Member,Male,Sports and travel,359.6,377.58,1/17/2019,15:05,Credit card,4.3
734-91-1155,B,Chicago,Normal,Female,Electronic accessories,137.13,143.9865,3/26/2019,10:34,Credit card,7.7
451-28-5717,C,Houston,Member,Female,Home and lifestyle,499.02,523.971,3/20/2019,11:23,Cash,7.3
609-81-8548,A,Nueva York,Member,Female,Home and lifestyle,224.64,235.872,02/06/2019,13:55,Credit card,5.9
133-14-7229,C,Houston,Normal,Male,Health and beauty,125.74,132.027,01/01/2019,11:43,Cash,5
534-01-4457,A,Nueva York,Normal,Male,Food and beverages,490.26,514.773,1/27/2019,14:36,Credit card,8
719-89-8991,A,Nueva York,Member,Female,Sports and travel,457.05,479.9025,2/25/2019,16:03,Ewallet,7.1
286-62-6248,B,Chicago,Normal,Male,Fashion accessories,156.84,164.682,1/16/2019,20:03,Credit card,9
339-38-9982,B,Chicago,Member,Male,Fashion accessories,119.72,125.706,1/13/2019,14:55,Ewallet,6.7
827-44-5872,B,Chicago,Member,Female,Food and beverages,543.6,570.78,02/07/2019,11:28,Credit card,6.1
827-77-7633,A,Nueva York,Normal,Male,Sports and travel,882.81,926.9505,2/17/2019,19:41,Cash,9.3
287-83-1405,A,Nueva York,Normal,Male,Health and beauty,152.58,160.209,02/12/2019,19:01,Ewallet,7
435-13-4908,A,Nueva York,Member,Male,Fashion accessories,693.44,728.112,1/24/2019,18:04,Credit card,7.2
857-67-9057,B,Chicago,Normal,Male,Electronic accessories,229.5,240.975,02/06/2019,19:20,Ewallet,8.2
236-27-1144,C,Houston,Normal,Female,Food and beverages,146.79,154.1295,3/26/2019,10:31,Ewallet,8.4
892-05-6689,A,Nueva York,Normal,Female,Home and lifestyle,141.6,148.68,03/11/2019,13:28,Ewallet,6.2
583-41-4548,C,Houston,Normal,Male,Home and lifestyle,116.69,122.5245,02/07/2019,11:36,Ewallet,7.4
339-12-4827,B,Chicago,Member,Female,Fashion accessories,73.96,77.658,01/05/2019,11:32,Credit card,5
643-38-7867,A,Nueva York,Normal,Male,Home and lifestyle,97.94,102.837,03/07/2019,11:44,Ewallet,6.9
308-81-0538,A,Nueva York,Normal,Female,Fashion accessories,292.2,306.81,2/25/2019,17:16,Credit card,4.9
358-88-9262,C,Houston,Member,Female,Food and beverages,524.88,551.124,02/01/2019,18:43,Ewallet,5.1
460-35-4390,A,Nueva York,Normal,Male,Home and lifestyle,92.04,96.642,1/22/2019,11:00,Ewallet,9.1
343-87-0864,C,Houston,Member,Male,Health and beauty,75.88,79.674,01/03/2019,10:30,Credit card,7.1
173-50-1108,B,Chicago,Member,Female,Sports and travel,80.72,84.756,2/13/2019,12:14,Credit card,5
243-47-2663,C,Houston,Member,Male,Electronic accessories,112.62,118.251,1/28/2019,16:43,Credit card,5.5
841-18-8232,B,Chicago,Normal,Female,Food and beverages,71.2,74.76,01/05/2019,20:40,Credit card,9.2
701-23-5550,B,Chicago,Member,Male,Home and lifestyle,155.24,163.002,3/19/2019,13:40,Ewallet,4.9
647-50-1224,A,Nueva York,Normal,Female,Fashion accessories,294.2,308.91,01/12/2019,16:23,Ewallet,8.9
541-48-8554,A,Nueva York,Normal,Male,Sports and travel,548.55,575.9775,01/07/2019,12:08,Credit card,6
539-21-7227,B,Chicago,Normal,Female,Sports and travel,257.7,270.585,1/26/2019,17:45,Cash,4.2
213-32-1216,A,Nueva York,Normal,Female,Electronic accessories,396.36,416.178,1/23/2019,10:28,Cash,7.3
747-58-7183,B,Chicago,Normal,Male,Fashion accessories,171.81,180.4005,02/09/2019,20:31,Ewallet,6.5
582-52-8065,B,Chicago,Normal,Female,Fashion accessories,488.79,513.2295,2/22/2019,10:49,Cash,8.9
210-57-1719,B,Chicago,Normal,Female,Health and beauty,524.16,550.368,02/05/2019,12:34,Cash,9.7
399-69-4630,C,Houston,Normal,Male,Electronic accessories,133.26,139.923,03/07/2019,10:23,Credit card,8.6
134-75-2619,A,Nueva York,Member,Male,Electronic accessories,135.24,142.002,3/25/2019,18:51,Cash,6.9
356-44-8813,B,Chicago,Normal,Male,Home and lifestyle,112.44,118.062,1/20/2019,13:45,Credit card,7.7
198-66-9832,B,Chicago,Member,Female,Fashion accessories,144.08,151.284,02/04/2019,19:38,Cash,9.5
283-26-5248,C,Houston,Member,Female,Food and beverages,985.2,1034.46,1/30/2019,20:23,Ewallet,4.5
712-39-0363,A,Nueva York,Member,Male,Food and beverages,249.96,262.458,01/02/2019,15:24,Ewallet,5.6
218-59-9410,A,Nueva York,Member,Female,Home and lifestyle,217.26,228.123,3/29/2019,16:54,Ewallet,8.2
174-75-0888,B,Chicago,Normal,Male,Electronic accessories,194.22,203.931,3/14/2019,12:32,Cash,7.3
866-99-7614,C,Houston,Normal,Male,Food and beverages,892,936.6,02/11/2019,15:42,Credit card,4.4
134-54-4720,B,Chicago,Normal,Female,Electronic accessories,339.36,356.328,1/30/2019,13:58,Ewallet,5.7
760-90-2357,A,Nueva York,Member,Male,Electronic accessories,447.06,469.413,3/20/2019,15:08,Ewallet,5
514-37-2845,B,Chicago,Normal,Male,Fashion accessories,198.5,208.425,3/20/2019,13:02,Cash,9
698-98-5964,A,Nueva York,Normal,Female,Food and beverages,812.1,852.705,1/17/2019,13:01,Credit card,6.3
718-57-9773,C,Houston,Normal,Female,Sports and travel,493.3,517.965,02/03/2019,16:40,Credit card,9.4
651-88-7328,A,Nueva York,Normal,Female,Fashion accessories,591.66,621.243,01/01/2019,13:55,Cash,7.7
241-11-2261,B,Chicago,Normal,Female,Fashion accessories,559.02,586.971,01/10/2019,10:33,Credit card,5.5
408-26-9866,C,Houston,Normal,Female,Sports and travel,517.86,543.753,03/02/2019,16:42,Ewallet,4.1
834-83-1826,B,Chicago,Member,Female,Home and lifestyle,410.2,430.71,2/25/2019,17:16,Credit card,7.6
343-61-3544,B,Chicago,Member,Male,Sports and travel,266.7,280.035,1/29/2019,11:48,Cash,8.6
239-48-4278,A,Nueva York,Member,Male,Food and beverages,70.91,74.4555,03/10/2019,19:35,Ewallet,8.3
355-34-6244,B,Chicago,Normal,Male,Food and beverages,144.78,152.019,1/13/2019,19:55,Credit card,8.1
550-84-8664,A,Nueva York,Normal,Male,Sports and travel,429.55,451.0275,3/22/2019,14:33,Credit card,8.6
339-96-8318,B,Chicago,Member,Male,Fashion accessories,569.17,597.6285,03/01/2019,19:49,Ewallet,6.3
458-61-0011,B,Chicago,Normal,Male,Food and beverages,241.2,253.26,2/20/2019,18:43,Cash,5.8
592-34-6155,C,Houston,Normal,Male,Food and beverages,127.08,133.434,1/14/2019,14:43,Ewallet,6.2
797-88-0493,A,Nueva York,Normal,Female,Health and beauty,257.08,269.934,3/26/2019,13:54,Cash,7.7
207-73-1363,B,Chicago,Normal,Male,Health and beauty,139.02,145.971,03/01/2019,12:15,Ewallet,8.1
390-31-6381,C,Houston,Normal,Male,Food and beverages,81.66,85.743,01/07/2019,12:37,Cash,7.3
443-82-0585,A,Nueva York,Member,Female,Health and beauty,310.72,326.256,02/01/2019,19:54,Cash,8.4
339-18-7061,C,Houston,Member,Female,Fashion accessories,185.96,195.258,2/13/2019,15:06,Credit card,8
359-90-3665,B,Chicago,Member,Female,Fashion accessories,72.32,75.936,1/14/2019,18:03,Credit card,9.5
375-72-3056,B,Chicago,Normal,Male,Sports and travel,189.18,198.639,1/19/2019,15:58,Ewallet,7
127-47-6963,A,Nueva York,Normal,Male,Health and beauty,206.84,217.182,03/09/2019,13:53,Credit card,9.8
278-86-2735,A,Nueva York,Normal,Female,Food and beverages,157.02,164.871,3/27/2019,14:03,Cash,9.2
695-28-6250,A,Nueva York,Normal,Female,Sports and travel,215.3,226.065,02/04/2019,16:38,Ewallet,7.7
379-17-6588,C,Houston,Normal,Male,Fashion accessories,596.1,625.905,3/14/2019,11:07,Cash,5.3
227-50-3718,A,Nueva York,Normal,Male,Health and beauty,73.1,76.755,03/04/2019,12:23,Cash,4.4
302-15-2162,C,Houston,Member,Male,Health and beauty,279.18,293.139,03/03/2019,10:54,Credit card,4.3
788-07-8452,C,Houston,Member,Female,Home and lifestyle,169.68,178.164,1/27/2019,17:38,Ewallet,9.4
560-49-6611,A,Nueva York,Member,Female,Sports and travel,45.58,47.859,02/07/2019,14:13,Cash,9.8
880-35-0356,A,Nueva York,Member,Female,Sports and travel,225.6,236.88,02/05/2019,11:51,Ewallet,4.8
585-11-6748,B,Chicago,Member,Male,Sports and travel,290.4,304.92,3/15/2019,13:05,Cash,5.3
470-31-3286,B,Chicago,Normal,Male,Health and beauty,44.46,46.683,03/01/2019,11:30,Credit card,8.7
152-68-2907,A,Nueva York,Normal,Male,Food and beverages,156.6,164.43,2/15/2019,13:30,Credit card,9.5
123-35-4896,C,Houston,Normal,Female,Sports and travel,419.94,440.937,2/17/2019,19:11,Ewallet,5.3
258-69-7810,C,Houston,Normal,Female,Fashion accessories,184.25,193.4625,1/26/2019,18:53,Cash,9.2
334-64-2006,A,Nueva York,Member,Female,Home and lifestyle,140.64,147.672,3/24/2019,14:22,Ewallet,9.6
219-61-4139,C,Houston,Normal,Male,Electronic accessories,83.08,87.234,1/23/2019,17:16,Ewallet,6.4
881-41-7302,C,Houston,Normal,Female,Fashion accessories,64.99,68.2395,1/26/2019,10:06,Credit card,4.5
373-09-4567,C,Houston,Normal,Male,Food and beverages,775.6,814.38,3/14/2019,20:35,Ewallet,6.9
642-30-6693,B,Chicago,Normal,Female,Sports and travel,327.06,343.413,3/17/2019,13:54,Ewallet,7.8
484-22-8230,C,Houston,Member,Female,Fashion accessories,363.23,381.3915,01/08/2019,20:08,Cash,4.5
830-58-2383,B,Chicago,Normal,Male,Home and lifestyle,127,133.35,02/08/2019,15:26,Cash,8.6
559-98-9873,A,Nueva York,Member,Female,Fashion accessories,375.55,394.3275,02/10/2019,12:56,Ewallet,5.2
544-32-5024,C,Houston,Member,Female,Food and beverages,199.16,209.118,3/28/2019,19:16,Credit card,6.4
318-12-0304,A,Nueva York,Normal,Male,Fashion accessories,30.61,32.1405,1/23/2019,12:20,Ewallet,5.2
349-97-8902,B,Chicago,Member,Male,Food and beverages,115.78,121.569,1/17/2019,10:37,Ewallet,8.9
421-95-9805,A,Nueva York,Normal,Female,Electronic accessories,28.96,30.408,02/07/2019,10:18,Credit card,6.2
277-35-5865,C,Houston,Member,Female,Food and beverages,890.73,935.2665,03/09/2019,11:23,Cash,6.7
789-23-8625,B,Chicago,Member,Male,Fashion accessories,279.66,293.643,1/24/2019,11:45,Cash,7.2
284-54-4231,C,Houston,Member,Male,Sports and travel,80.93,84.9765,1/19/2019,16:08,Credit card,9
443-59-0061,A,Nueva York,Member,Male,Food and beverages,674.5,708.225,02/03/2019,11:25,Ewallet,4.2
509-29-3912,A,Nueva York,Member,Female,Sports and travel,348.48,365.904,3/20/2019,12:24,Ewallet,4.2
327-40-9673,B,Chicago,Member,Male,Sports and travel,435.6,457.38,1/13/2019,19:51,Cash,6.9
840-19-2096,C,Houston,Member,Male,Electronic accessories,439.55,461.5275,3/14/2019,18:10,Ewallet,4.4
828-46-6863,A,Nueva York,Member,Male,Food and beverages,591.18,620.739,1/23/2019,11:22,Credit card,4
641-96-3695,C,Houston,Member,Female,Fashion accessories,260.76,273.798,02/07/2019,17:55,Ewallet,8.5
420-97-3340,A,Nueva York,Normal,Female,Food and beverages,215.04,225.792,3/28/2019,15:30,Credit card,9.2
436-54-4512,A,Nueva York,Member,Female,Food and beverages,91.61,96.1905,3/20/2019,19:44,Cash,9.8
670-79-6321,B,Chicago,Member,Female,Home and lifestyle,662.13,695.2365,1/17/2019,15:27,Credit card,4.9
852-62-7105,B,Chicago,Normal,Female,Fashion accessories,832.5,874.125,01/12/2019,11:25,Credit card,4.4
598-06-7312,B,Chicago,Member,Male,Fashion accessories,91.35,95.9175,2/16/2019,15:42,Cash,6.8
135-13-8269,B,Chicago,Member,Female,Food and beverages,157.76,165.648,1/26/2019,16:04,Cash,9.1
816-57-2053,A,Nueva York,Normal,Male,Sports and travel,121.74,127.827,03/09/2019,12:37,Ewallet,8.7
628-90-8624,B,Chicago,Member,Male,Health and beauty,825.8,867.09,3/14/2019,14:41,Cash,5
856-66-2701,A,Nueva York,Member,Male,Home and lifestyle,159.9,167.895,1/25/2019,14:19,Ewallet,7.5
308-39-1707,A,Nueva York,Normal,Female,Fashion accessories,12.09,12.6945,1/26/2019,18:19,Credit card,8.2
149-61-1929,A,Nueva York,Normal,Male,Sports and travel,641.9,673.995,1/19/2019,14:08,Credit card,6.7
655-07-2265,A,Nueva York,Normal,Male,Electronic accessories,234.93,246.6765,03/05/2019,16:38,Ewallet,5.4
589-02-8023,A,Nueva York,Member,Male,Food and beverages,167.54,175.917,1/15/2019,10:54,Credit card,7
420-04-7590,B,Chicago,Normal,Male,Home and lifestyle,299.1,314.055,3/18/2019,11:29,Ewallet,4.7
182-88-2763,B,Chicago,Member,Male,Food and beverages,239.73,251.7165,3/20/2019,19:28,Credit card,5
188-55-0967,B,Chicago,Member,Male,Health and beauty,664.7,697.935,1/15/2019,15:01,Credit card,5
610-46-4100,A,Nueva York,Normal,Male,Health and beauty,202.65,212.7825,03/03/2019,20:31,Credit card,6
318-81-2368,C,Houston,Normal,Female,Electronic accessories,46.2,48.51,3/19/2019,12:16,Cash,6.3
364-33-8584,B,Chicago,Member,Female,Food and beverages,88.15,92.5575,03/08/2019,15:27,Cash,8.5
665-63-9737,B,Chicago,Normal,Male,Fashion accessories,157.26,165.123,2/27/2019,17:36,Ewallet,7.5
695-09-5146,B,Chicago,Member,Female,Food and beverages,296.37,311.1885,2/23/2019,20:00,Ewallet,6.4
155-45-3814,C,Houston,Member,Female,Electronic accessories,708.4,743.82,3/19/2019,15:29,Ewallet,4.7
794-32-2436,B,Chicago,Member,Male,Electronic accessories,111.34,116.907,3/27/2019,15:08,Ewallet,6
131-15-8856,C,Houston,Member,Female,Food and beverages,580.16,609.168,3/30/2019,19:26,Credit card,4
273-84-2164,C,Houston,Member,Male,Electronic accessories,60.25,63.2625,2/16/2019,15:53,Ewallet,5.5
706-36-6154,A,Nueva York,Member,Male,Home and lifestyle,174.24,182.952,1/18/2019,18:43,Ewallet,8.7
778-89-7974,C,Houston,Normal,Male,Health and beauty,421.26,442.323,3/30/2019,14:58,Cash,7.4
574-31-8277,B,Chicago,Member,Male,Fashion accessories,33.63,35.3115,3/20/2019,19:55,Cash,5.6
859-71-0933,C,Houston,Member,Female,Sports and travel,30.98,32.529,1/16/2019,15:10,Cash,6.3
740-11-5257,C,Houston,Normal,Male,Electronic accessories,247.4,259.77,2/24/2019,16:44,Cash,7.1
369-82-2676,B,Chicago,Normal,Male,Electronic accessories,378.3,397.215,1/15/2019,18:22,Ewallet,7.8
563-47-4072,B,Chicago,Normal,Female,Health and beauty,334.86,351.603,1/22/2019,11:52,Cash,9.9
742-04-5161,A,Nueva York,Member,Male,Home and lifestyle,727.8,764.19,02/03/2019,17:24,Cash,7.3
149-15-7606,B,Chicago,Member,Male,Sports and travel,335.88,352.674,03/06/2019,15:31,Ewallet,5.1
133-77-3154,B,Chicago,Member,Male,Fashion accessories,240.72,252.756,2/16/2019,18:04,Credit card,9.4
169-52-4504,A,Nueva York,Normal,Female,Electronic accessories,47.07,49.4235,3/14/2019,14:13,Credit card,5.8
250-81-7186,C,Houston,Normal,Female,Electronic accessories,99.69,104.6745,2/27/2019,10:23,Credit card,8
562-12-5430,A,Nueva York,Member,Female,Fashion accessories,264.45,277.6725,1/18/2019,10:11,Ewallet,7.9
816-72-8853,A,Nueva York,Member,Female,Sports and travel,139.65,146.6325,1/29/2019,15:48,Cash,5.9
491-38-3499,A,Nueva York,Member,Male,Fashion accessories,55.45,58.2225,2/26/2019,17:46,Credit card,4.9
322-02-2271,B,Chicago,Normal,Female,Sports and travel,128.91,135.3555,02/03/2019,11:46,Cash,9.3
842-29-4695,C,Houston,Member,Male,Sports and travel,119.98,125.979,1/16/2019,12:07,Credit card,7.9
725-67-2480,B,Chicago,Member,Female,Fashion accessories,352.5,370.125,3/24/2019,18:14,Credit card,5.9
641-51-2661,C,Houston,Member,Female,Food and beverages,871,914.55,02/12/2019,14:45,Credit card,9.9
714-02-3114,C,Houston,Normal,Female,Sports and travel,197.6,207.48,2/21/2019,11:39,Cash,7.7
518-17-2983,A,Nueva York,Normal,Female,Fashion accessories,194.52,204.246,02/04/2019,15:44,Ewallet,7.6
779-42-2410,B,Chicago,Member,Male,Food and beverages,173.22,181.881,2/20/2019,13:06,Ewallet,7.7
190-14-3147,B,Chicago,Normal,Female,Health and beauty,71.88,75.474,2/23/2019,20:43,Ewallet,6.4
408-66-6712,C,Houston,Member,Female,Health and beauty,286.26,300.573,2/16/2019,14:19,Ewallet,4.4
679-22-6530,B,Chicago,Normal,Female,Sports and travel,81.24,85.302,1/17/2019,10:01,Credit card,4.1
588-47-8641,A,Nueva York,Member,Male,Fashion accessories,560.4,588.42,1/14/2019,19:30,Ewallet,4.4
642-61-4706,B,Chicago,Member,Male,Food and beverages,186.8,196.14,3/30/2019,16:34,Cash,5.5
576-31-4774,B,Chicago,Normal,Female,Health and beauty,220.23,231.2415,03/02/2019,13:10,Ewallet,4
556-41-6224,C,Houston,Normal,Male,Health and beauty,269.12,282.576,2/15/2019,17:10,Credit card,9.3
811-03-8790,A,Nueva York,Normal,Female,Electronic accessories,454.8,477.54,03/01/2019,10:22,Credit card,4.8
242-11-3142,B,Chicago,Member,Male,Fashion accessories,167.54,175.917,2/24/2019,19:57,Cash,4.6
752-23-3760,B,Chicago,Member,Female,Sports and travel,448.56,470.988,2/19/2019,19:29,Credit card,7.3
274-05-5470,A,Nueva York,Member,Female,Food and beverages,293.88,308.574,2/23/2019,18:30,Cash,6
648-94-3045,C,Houston,Normal,Male,Health and beauty,589.5,618.975,02/07/2019,14:27,Ewallet,8.1
130-67-4723,A,Nueva York,Member,Male,Food and beverages,291,305.55,01/11/2019,13:57,Ewallet,9.4
528-87-5606,B,Chicago,Member,Female,Electronic accessories,39.48,41.454,02/12/2019,19:43,Cash,6.5
320-85-2052,B,Chicago,Normal,Female,Sports and travel,34.81,36.5505,1/14/2019,10:11,Credit card,7
370-96-0655,C,Houston,Normal,Female,Fashion accessories,295.92,310.716,01/09/2019,13:46,Ewallet,7.1
105-10-6182,A,Nueva York,Member,Male,Fashion accessories,42.96,45.108,2/27/2019,12:22,Ewallet,6.6
510-79-0415,B,Chicago,Member,Female,Sports and travel,138.48,145.404,1/24/2019,19:20,Ewallet,4.9
241-96-5076,B,Chicago,Member,Female,Home and lifestyle,98.2,103.11,01/08/2019,12:58,Credit card,6.4
767-97-4650,B,Chicago,Member,Female,Sports and travel,129.66,136.143,01/08/2019,11:59,Credit card,8
648-83-1321,A,Nueva York,Member,Male,Home and lifestyle,635.6,667.38,1/16/2019,17:59,Cash,4.3
173-57-2300,C,Houston,Member,Male,Sports and travel,145.76,153.048,3/13/2019,12:51,Cash,6.1
305-03-2383,A,Nueva York,Normal,Female,Food and beverages,201.3,211.365,2/15/2019,10:36,Cash,7.5
394-55-6384,C,Houston,Member,Female,Sports and travel,631.71,663.2955,1/25/2019,13:38,Cash,6.7
266-20-6657,C,Houston,Member,Male,Food and beverages,385.28,404.544,03/12/2019,19:39,Ewallet,5.2
689-05-1884,A,Nueva York,Member,Male,Health and beauty,486.3,510.615,03/04/2019,12:44,Cash,8.8
196-01-2849,C,Houston,Member,Female,Fashion accessories,513.66,539.343,02/10/2019,13:56,Cash,9.5
372-62-5264,C,Houston,Normal,Female,Food and beverages,473.4,497.07,1/16/2019,14:42,Cash,7.6
800-09-8606,A,Nueva York,Member,Female,Home and lifestyle,436.85,458.6925,1/29/2019,19:45,Cash,6.6
182-52-7000,A,Nueva York,Member,Female,Sports and travel,108.16,113.568,01/01/2019,20:26,Ewallet,6.9
826-58-8051,B,Chicago,Normal,Male,Home and lifestyle,248.76,261.198,01/06/2019,19:46,Ewallet,4.3
868-06-0466,A,Nueva York,Member,Male,Electronic accessories,626.22,657.531,2/19/2019,19:38,Credit card,7.8
751-41-9720,C,Houston,Normal,Male,Home and lifestyle,975,1023.75,01/12/2019,16:18,Ewallet,8
626-43-7888,C,Houston,Normal,Female,Fashion accessories,483.28,507.444,02/07/2019,12:23,Ewallet,9.6
176-64-7711,B,Chicago,Normal,Male,Food and beverages,96.96,101.808,3/27/2019,19:11,Credit card,4.3
191-29-0321,B,Chicago,Member,Female,Fashion accessories,197.7,207.585,2/27/2019,18:57,Credit card,5
729-06-2010,B,Chicago,Member,Male,Health and beauty,724.23,760.4415,01/06/2019,11:18,Cash,9.2
640-48-5028,B,Chicago,Member,Female,Home and lifestyle,795.51,835.2855,03/02/2019,12:40,Cash,6.3
186-79-9562,B,Chicago,Normal,Male,Health and beauty,502.39,527.5095,3/29/2019,14:06,Cash,8.9
834-45-5519,B,Chicago,Normal,Female,Electronic accessories,172,180.6,1/31/2019,20:48,Ewallet,7.6
162-65-8559,C,Houston,Member,Male,Food and beverages,68.98,72.429,1/21/2019,20:13,Cash,4.8
760-27-5490,C,Houston,Normal,Male,Fashion accessories,124.96,131.208,1/20/2019,20:37,Ewallet,9.1
445-30-9252,A,Nueva York,Normal,Male,Sports and travel,77.1,80.955,1/17/2019,17:59,Ewallet,6.1
786-94-2700,A,Nueva York,Member,Male,Food and beverages,483.72,507.906,2/28/2019,20:18,Cash,9.1
728-88-7867,C,Houston,Member,Female,Home and lifestyle,302.12,317.226,3/19/2019,15:52,Ewallet,8.3
183-21-3799,C,Houston,Normal,Female,Electronic accessories,698.67,733.6035,2/19/2019,15:14,Ewallet,7.2
268-20-3585,C,Houston,Normal,Female,Health and beauty,124.65,130.8825,02/04/2019,12:50,Ewallet,6
735-32-9839,C,Houston,Member,Male,Fashion accessories,789.6,829.08,1/31/2019,10:36,Ewallet,8.5
258-92-7466,A,Nueva York,Normal,Female,Health and beauty,178.4,187.32,02/06/2019,18:33,Credit card,6.6
857-16-3520,A,Nueva York,Member,Female,Fashion accessories,500.22,525.231,3/28/2019,16:06,Ewallet,4.5
482-17-1179,A,Nueva York,Member,Male,Electronic accessories,35.82,37.611,1/19/2019,12:47,Credit card,8.1
788-21-5741,A,Nueva York,Normal,Male,Fashion accessories,136.14,142.947,2/17/2019,13:34,Credit card,7.2
821-14-9046,B,Chicago,Member,Female,Fashion accessories,104.88,110.124,1/18/2019,15:04,Credit card,6.1
418-05-0656,B,Chicago,Normal,Female,Fashion accessories,178.92,187.866,02/02/2019,20:42,Cash,7.1
678-79-0726,C,Houston,Member,Female,Sports and travel,815.67,856.4535,1/18/2019,15:28,Cash,5.1
776-68-1096,B,Chicago,Normal,Male,Home and lifestyle,132.36,138.978,3/18/2019,13:45,Credit card,7.9
592-46-1692,C,Houston,Member,Female,Food and beverages,257.39,270.2595,01/11/2019,20:10,Cash,7.4
434-35-9162,B,Chicago,Member,Male,Food and beverages,93.36,98.028,02/04/2019,18:53,Ewallet,7.4
149-14-0304,C,Houston,Member,Female,Health and beauty,228,239.4,02/06/2019,14:24,Cash,6.6
442-44-6497,C,Houston,Member,Male,Home and lifestyle,166.71,175.0455,01/08/2019,11:42,Credit card,5.9
174-64-0215,B,Chicago,Normal,Male,Sports and travel,697.4,732.27,03/05/2019,17:49,Credit card,8.9
210-74-9613,C,Houston,Normal,Male,Fashion accessories,389.04,408.492,3/16/2019,15:33,Ewallet,6.8
299-29-0180,B,Chicago,Member,Female,Home and lifestyle,365.26,383.523,03/09/2019,10:54,Cash,9.3
247-11-2470,A,Nueva York,Member,Female,Fashion accessories,89.28,93.744,03/01/2019,16:23,Credit card,4.4
635-28-5728,A,Nueva York,Normal,Male,Health and beauty,168,176.4,2/28/2019,19:33,Ewallet,4.8
756-49-0168,A,Nueva York,Member,Male,Fashion accessories,19.7,20.685,02/08/2019,11:39,Ewallet,9.5
438-23-1242,B,Chicago,Normal,Male,Electronic accessories,531.16,557.718,1/24/2019,10:38,Ewallet,8.9
238-45-6950,B,Chicago,Member,Male,Food and beverages,53.72,56.406,03/01/2019,20:03,Ewallet,6.4
607-65-2441,C,Houston,Member,Male,Health and beauty,819.5,860.475,03/10/2019,12:39,Credit card,6
386-27-7606,C,Houston,Member,Female,Home and lifestyle,568.4,596.82,3/23/2019,15:59,Credit card,8.1
137-63-5492,C,Houston,Normal,Male,Electronic accessories,587.6,616.98,1/29/2019,14:26,Ewallet,9
197-77-7132,B,Chicago,Member,Male,Electronic accessories,732.48,769.104,01/12/2019,18:22,Ewallet,6
805-86-0265,A,Nueva York,Normal,Male,Home and lifestyle,845.64,887.922,3/20/2019,11:32,Cash,9.8
733-29-1227,C,Houston,Normal,Male,Home and lifestyle,389.27,408.7335,3/23/2019,12:41,Cash,8.5
451-73-2711,C,Houston,Normal,Male,Food and beverages,84.83,89.0715,1/14/2019,15:20,Ewallet,8.8
